"Entity","Element","Description","Data quality","Mandatory","Example value","Included in Current Template","Required changes","Source type","Source reference","SAR API path","Template label"
"Offence","Offence ID","Unique identifier of the reported offence.","Good","Y","1231232","N","None - internal identifier is not shown in the SAR template.","Database","reported_offence.id","Not exposed by SAR API",""
"Offence","Offence Code","Internal DPS code for the type of offence.","Good","Y","21001","N","None - explicitly excluded from the SAR template.","Database","reported_offence.offence_code","[].offenceDetails.offenceCode",""
"Offence","Victim Prisoner's Number","Prison number of a prisoner who is a victim of the offence, where applicable.","Good","N","G4715GQ","N","None - explicitly excluded from the SAR template.","Database","reported_offence.victim_prisoners_number","[].offenceDetails.victimPrisonersNumber",""
"Offence","Victim Staff Username","Username of a staff member who is a victim of the offence, where applicable.","Good","N","AB123C","N","None - explicitly excluded from the SAR template.","Database","reported_offence.victim_staff_username","[].offenceDetails.victimStaffUsername",""
"Offence","Victim Other Person's Name","Name of a victim who is neither a prisoner nor a member of staff.","Good","N","Joe Bloggs","N","None - explicitly excluded from the SAR template.","Database","reported_offence.victim_other_persons_name","[].offenceDetails.victimOtherPersonsName",""
"Offence","Protected Characteristic","Protected characteristic recorded as relevant to the offence.","Good","N","RELIGION","Y","None.","Database","protected_characteristics.characteristic","[].offenceDetails.protectedCharacteristics[]","Characteristic"
"Offence","Protected Characteristic ID","Internal identifier for a protected characteristic record.","Good","Y","1231232","Y","No change requested - the current template contains the optional ID binding but the SAR API does not supply it.","Database","protected_characteristics.id","Not exposed by SAR API","ID"
"Offence","Incident Role Paragraph Number","Prison Rules paragraph associated with the prisoner's role in the incident.","Good","Y","25(a)","Y","None.","Derived","IncidentRoleRuleLookup using reported_adjudications.incident_role_code and is_youth_offender","[].incidentRole.offenceRule.paragraphNumber","Paragraph number"
"Offence","Incident Role Description","Description of the Prison Rules paragraph associated with the prisoner's role.","Good","Y","Attempts to commit any of the foregoing offences","Y","None.","Derived","IncidentRoleRuleLookup using reported_adjudications.incident_role_code and is_youth_offender","[].incidentRole.offenceRule.paragraphDescription","Description"
"Offence","Offence Paragraph Number","Prison Rules paragraph associated with the reported offence.","Good","Y","4","Y","None.","Derived","OffenceCodeLookupService using reported_offence.offence_code, is_youth_offender and gender","[].offenceDetails.offenceRule.paragraphNumber","Paragraph number"
"Offence","Offence Description","Description of the Prison Rules paragraph associated with the reported offence.","Good","Y","Fights with any person","Y","None.","Derived","OffenceCodeLookupService using reported_offence.offence_code, is_youth_offender and gender","[].offenceDetails.offenceRule.paragraphDescription","Description"
"Damages","Code","Damage category from the predefined list.","Good","Y","FURNITURE_OR_FABRIC_REPAIR","Y","None.","Database","reported_damages.code","[].damages[].code","Code"
"Damages","Details","Staff record of what was damaged and the extent of the damage.","Good","Y","Chair broken in two","Y","None.","Database","reported_damages.details","[].damages[].details","Details"
"Damages","Reporter","Surname of the staff member who recorded the damage details.","Good","Y","Smith","Y","None - implemented; surname is resolved by the SAR renderer.","External","SAR renderer getUserLastName helper using reported_damages.reporter","[].damages[].reporter","Reporter"
"Damages","Repair Cost","Financial cost of repairing the reported damage.","Good","N","£50.29","Y","None - implemented in the current template.","Database","reported_damages.repair_cost","[].damages[].repairCost","Repair cost"
"Witness","Code","Category describing the type of witness.","Good","Y","OFFICER","N","None - explicitly excluded from the SAR template.","Database","reported_witness.code","[].witnesses[].code",""
"Witness","First Name","First name of the reported witness.","Good","Y","Jack","N","None - not included in the confirmed SAR template.","Database","reported_witness.first_name","[].witnesses[].firstName",""
"Witness","Last Name","Last name of the reported witness.","Good","Y","Sparrow","Y","None.","Database","reported_witness.last_name","[].witnesses[].lastName","Last name"
"Witness","Reporter","Surname of the staff member who recorded the witness details.","Good","Y","Smith","Y","None - surname is resolved by the SAR renderer.","External","SAR renderer getUserLastName helper using reported_witness.reporter","[].witnesses[].reporter","Reporter"
"Witness","Comment","Relevant details about the witness or their evidence.","Good","N","I saw them do it","Y","None - implemented in the current template.","Database","reported_witness.comment","[].witnesses[].comment","Comment"
"Evidence","Code","Evidence category from the predefined list.","Good","Y","BODY_WORN_CAMERA","Y","None.","Database","reported_evidence.code","[].evidence[].code","Code"
"Evidence","Identifier","Reference identifying the evidence associated with the adjudication.","Good","N","JO5678","Y","None.","Database","reported_evidence.identifier","[].evidence[].identifier","Identifier"
"Evidence","Details","Details of the reported evidence.","Good","Y","Footage of abuse from prisoner","Y","None.","Database","reported_evidence.details","[].evidence[].details","Details"
"Evidence","Reporter","Surname of the staff member who recorded the evidence details.","Good","Y","Smith","Y","None - surname is resolved by the SAR renderer.","External","SAR renderer getUserLastName helper using reported_evidence.reporter","[].evidence[].reporter","Reporter"
"Adjudication","Prisoner Number","Unique prison number for the prisoner who is the subject of the adjudication.","Good","Y","G4715GQ","N","None - the SAR request identifies the subject outside this service template.","Database","reported_adjudications.prisoner_number","[].prisonerNumber",""
"Adjudication","Charge Number","Unique business identifier for the adjudication charge.","Good","Y","MDI-000001","Y","None.","Database","reported_adjudications.charge_number","[].chargeNumber","Charge number"
"Adjudication","Originating Agency","Name of the prison where the adjudication was raised.","Good","Y","Moorland (HMP & YOI)","Y","None - prison name is resolved by the SAR renderer.","External","SAR renderer getPrisonName helper using reported_adjudications.originating_agency_id","[].originatingAgencyId","Originating agency"
"Adjudication","Incident Statement","Details of the incident being reported.","Good","Y","Prisoner lost their temper and smashed a chair against the wall","Y","None.","Database","reported_adjudications.statement","[].incidentStatement.statement","Statement"
"Adjudication","Incident Date/Time","Date and time when the incident occurred.","Good","Y","2025-05-05T10:30:00","Y","None.","Database","reported_adjudications.date_time_of_incident","[].incidentDetails.dateTimeOfIncident","Date and time of incident"
"Adjudication","Incident Location","Name of the location where the incident occurred.","Good","N","Education Block","Y","None - location name is resolved before rendering.","External","Locations Inside Prison API using reported_adjudications.location_uuid","[].incidentDetails.locationName","Location"
"Adjudication","Handover Deadline","Deadline for handing the report over for review.","Good","Y","2025-05-07T10:30:00","Y","None.","Database","reported_adjudications.handover_deadline","[].incidentDetails.handoverDeadline","Handover deadline"
"Adjudication","Status","Current status of the adjudication.","Good","Y","AWAITING_REVIEW","Y","None.","Database","reported_adjudications.status","[].status","Status"
"Adjudication","Status Reason","Reason recorded for the current status.","Good","N","More evidence being collected","Y","None.","Database","reported_adjudications.status_reason","[].statusReason","Status reason"
"Adjudication","Status Details","Free text recorded in support of the current status.","Good","N","Further evidence requested","Y","None.","Database","reported_adjudications.status_details","[].statusDetails","Status details"
"Adjudication","Youth Offender","Whether the youth offender rule set applies to the prisoner.","Good","Y","True","Y","None - implemented in the current template.","Database","reported_adjudications.is_youth_offender","[].isYouthOffender","Youth offender"
"Adjudication","Date/Time of Discovery","Date and time when the incident was discovered.","Good","Y","2025-05-05T10:30:00","Y","None.","Database","reported_adjudications.date_time_of_discovery","[].incidentDetails.dateTimeOfDiscovery","Date and time of discovery"
"Adjudication","Issuing Officer","Surname of the officer who most recently issued the notice of report.","Good","N","Johnson","Y","None - surname is resolved by the SAR renderer.","External","SAR renderer getUserLastName helper using reported_adjudications.issuing_officer","[].issuingOfficer","Issuing officer"
"Adjudication","Gender","Gender used to select the relevant adjudication rule wording.","Good","Y","FEMALE","Y","None - implemented in the current template.","Database","reported_adjudications.gender","[].gender","Gender"
"Adjudication","Date/Time of Issue","Date and time when the notice of report was most recently issued.","Good","N","2025-05-05T10:30:00","Y","None.","Database","reported_adjudications.date_time_of_issue","[].dateTimeOfIssue","Date and time of issue"
